Aug,2001,:,-1.46
Sep,2001,:,-0.04
Oct,2001,:,2.33
Nov,2001,:,-1.65
Dec,2001,:,0.89
Jan,2000,:,-1.29
Feb,2000,:,-1.47
Mar,2000,:,5.65
Apr,2000,:,4.19
May,2000,:,1.34
Jun,2000,:,-0.26
Jul,2000,:,-0.07
Aug,2000,:,6.31
Sep,2000,:,0.26
Oct,2000,:,-2.16
Nov,2000,:,1.3
Dec,2000,:,0.62
